filename,sample,genotype,batch,organ,cell_number
"export_A1 Well_021_Q3 CD4+ , CD8b-.csv",WT_1,WT,20230321,pLN,
"export_A2 Well_022_Q3 CD4+ , CD8b-.csv",WT_2,WT,20230321,pLN,
"export_A3 Well_023_Q3 CD4+ , CD8b-.csv",WT_3,WT,20230321,pLN,
"export_A4 Well_024_Q3 CD4+ , CD8b-.csv",RII_1,RII,20230321,pLN,
"export_A5 Well_025_Q3 CD4+ , CD8b-.csv",RII_2,RII,20230321,pLN,
"export_A6 Well_026_Q3 CD4+ , CD8b-.csv",RII_3,RII,20230321,pLN,
"export_A7 Well_027_Q3 CD4+ , CD8b-.csv",PD1_1,PD1,20230321,pLN,
"export_A8 Well_030_Q3 CD4+ , CD8b-.csv",PD1_2,PD1,20230321,pLN,
"export_A9 Well_031_Q3 CD4+ , CD8b-.csv",PD1_3,PD1,20230321,pLN,
"export_B1 Well_033_Q3 CD4+ , CD8b-.csv",2KO_1,2KO,20230321,pLN,
"export_B2 Well_034_Q3 CD4+ , CD8b-.csv",2KO_2,2KO,20230321,pLN,
"export_B3 Well_035_Q3 CD4+ , CD8b-.csv",2KO_3,2KO,20230321,pLN,
"export_B4 Well_036_Q3 CD4+ , CD8b-.csv",PDL1_1,PDL1,20230321,pLN,
"export_B5 Well_037_Q3 CD4+ , CD8b-.csv",PDL1_2,PDL1,20230321,pLN,
"export_B6 Well_038_Q3 CD4+ , CD8b-.csv",PDL1_3,PDL1,20230321,pLN,
"export_B7 Well_039_Q3 CD4+ , CD8b-.csv",PDL12KO_1,PDL12KO,20230321,pLN,
"export_B8 Well_040_Q3 CD4+ , CD8b-.csv",PDL12KO_2,PDL12KO,20230321,pLN,
"export_B9 Well_041_Q3 CD4+ , CD8b-.csv",PDL12KO_3,PDL12KO,20230321,pLN,
"export_C1 Well_043_Q3 CD4+ , CD8b-.csv",WT_1,WT,20230321,lvdLN,
"export_C2 Well_044_Q3 CD4+ , CD8b-.csv",WT_2,WT,20230321,lvdLN,
"export_C3 Well_045_Q3 CD4+ , CD8b-.csv",WT_3,WT,20230321,lvdLN,
"export_C4 Well_046_Q3 CD4+ , CD8b-.csv",RII_1,RII,20230321,lvdLN,
"export_C5 Well_047_Q3 CD4+ , CD8b-.csv",RII_2,RII,20230321,lvdLN,
"export_C6 Well_048_Q3 CD4+ , CD8b-.csv",RII_3,RII,20230321,lvdLN,
"export_C7 Well_049_Q3 CD4+ , CD8b-.csv",PD1_1,PD1,20230321,lvdLN,
"export_C8 Well_050_Q3 CD4+ , CD8b-.csv",PD1_2,PD1,20230321,lvdLN,
"export_C9 Well_051_Q3 CD4+ , CD8b-.csv",PD1_3,PD1,20230321,lvdLN,
"export_D1 Well_053_Q3 CD4+ , CD8b-.csv",2KO_1,2KO,20230321,lvdLN,
"export_D2 Well_054_Q3 CD4+ , CD8b-.csv",2KO_2,2KO,20230321,lvdLN,
"export_D3 Well_055_Q3 CD4+ , CD8b-.csv",2KO_3,2KO,20230321,lvdLN,
"export_D4 Well_056_Q3 CD4+ , CD8b-.csv",PDL1_1,PDL1,20230321,lvdLN,
"export_D5 Well_057_Q3 CD4+ , CD8b-.csv",PDL1_2,PDL1,20230321,lvdLN,
"export_D6 Well_058_Q3 CD4+ , CD8b-.csv",PDL1_3,PDL1,20230321,lvdLN,
"export_D7 Well_059_Q3 CD4+ , CD8b-.csv",PDL12KO_1,PDL12KO,20230321,lvdLN,
"export_D8 Well_060_Q3 CD4+ , CD8b-.csv",PDL12KO_2,PDL12KO,20230321,lvdLN,
"export_D9 Well_061_Q3 CD4+ , CD8b-.csv",PDL12KO_3,PDL12KO,20230321,lvdLN,